iter	Passed	Remaining
0	27	27349
1	51	25528
2	133	44344
3	182	45330
4	278	55463
5	342	56805
6	450	63900
7	475	59019
8	528	58246
9	564	55919
10	584	52584
11	604	49781
12	623	47320
13	641	45182
14	663	43541
15	683	42012
16	700	40507
17	721	39370
18	739	38184
19	756	37075
20	774	36109
21	792	35224
22	809	34393
23	829	33739
24	847	33049
25	865	32413
26	885	31904
27	903	31354
28	921	30840
29	938	30355
30	956	29895
31	973	29452
32	991	29064
33	1009	28693
34	1028	28350
35	1046	28022
36	1065	27742
37	1084	27459
38	1102	27178
39	1120	26883
40	1137	26617
41	1155	26362
42	1172	26104
43	1190	25869
44	1208	25645
45	1227	25453
46	1245	25247
47	1263	25061
48	1281	24872
49	1299	24695
50	1317	24517
51	1335	24339
52	1353	24183
53	1371	24023
54	1388	23861
55	1406	23712
56	1424	23563
57	1442	23426
58	1461	23313
59	1479	23184
60	1497	23056
61	1515	22924
62	1533	22801
63	1550	22682
64	1568	22567
65	1586	22450
66	1604	22338
67	1622	22237
68	1640	22130
69	1657	22018
70	1674	21916
71	1692	21812
72	1709	21711
73	1727	21622
74	1745	21532
75	1763	21435
76	1780	21347
77	1798	21259
78	1816	21173
79	1833	21087
80	1854	21037
81	1874	20988
82	1892	20909
83	1910	20837
84	1928	20756
85	1945	20675
86	1963	20600
87	1981	20532
88	1998	20459
89	2016	20386
90	2034	20320
91	2052	20257
92	2070	20195
93	2088	20131
94	2106	20066
95	2124	20008
96	2142	19945
97	2159	19878
98	2177	19817
99	2196	19766
100	2213	19704
101	2231	19645
102	2251	19603
103	2269	19549
104	2286	19489
105	2304	19437
106	2322	19386
107	2340	19333
108	2358	19277
109	2377	19235
110	2396	19191
111	2417	19165
112	2442	19171
113	2463	19142
114	2481	19095
115	2500	19051
116	2518	19006
117	2535	18953
118	2553	18903
119	2570	18851
120	2588	18805
121	2606	18754
122	2623	18706
123	2641	18663
124	2662	18637
125	2679	18589
126	2697	18544
127	2715	18497
128	2732	18449
129	2750	18406
130	2767	18361
131	2785	18315
132	2803	18274
133	2820	18230
134	2838	18188
135	2857	18151
136	2877	18127
137	2895	18088
138	2914	18053
139	2932	18013
140	2949	17968
141	2967	17927
142	2984	17885
143	3002	17846
144	3019	17805
145	3037	17768
146	3058	17744
147	3076	17712
148	3094	17671
149	3111	17634
150	3129	17597
151	3147	17560
152	3165	17523
153	3183	17490
154	3202	17458
155	3220	17424
156	3238	17388
157	3255	17351
158	3273	17314
159	3290	17276
160	3308	17243
161	3326	17207
162	3343	17170
163	3361	17136
164	3379	17102
165	3397	17069
166	3418	17049
167	3436	17017
168	3454	16985
169	3472	16955
170	3490	16921
171	3507	16886
172	3525	16855
173	3543	16821
174	3561	16791
